"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EDUEXP","TRY","PC_GDP","A","2015",2.034,
"AUT","EDUEXP","TRY","PC_GDP","A","2015",1.742,
"BEL","EDUEXP","TRY","PC_GDP","A","2015",1.474,
"CAN","EDUEXP","TRY","PC_GDP","A","2015",2.448,
"CZE","EDUEXP","TRY","PC_GDP","A","2015",1.156,
"DNK","EDUEXP","TRY","PC_GDP","A","2015",,"M"
"FIN","EDUEXP","TRY","PC_GDP","A","2015",1.726,
"FRA","EDUEXP","TRY","PC_GDP","A","2015",1.464,
"DEU","EDUEXP","TRY","PC_GDP","A","2015",1.224,
"GRC","EDUEXP","TRY","PC_GDP","A","2015",0.989,
"HUN","EDUEXP","TRY","PC_GDP","A","2015",0.883,
"ISL","EDUEXP","TRY","PC_GDP","A","2015",1.282,
"IRL","EDUEXP","TRY","PC_GDP","A","2015",0.819,
"ITA","EDUEXP","TRY","PC_GDP","A","2015",0.923,
"JPN","EDUEXP","TRY","PC_GDP","A","2015",1.388,
"KOR","EDUEXP","TRY","PC_GDP","A","2015",1.815,
"LUX","EDUEXP","TRY","PC_GDP","A","2015",0.527,
"MEX","EDUEXP","TRY","PC_GDP","A","2015",1.415,
"NLD","EDUEXP","TRY","PC_GDP","A","2015",1.725,
"NZL","EDUEXP","TRY","PC_GDP","A","2015",1.756,
"POL","EDUEXP","TRY","PC_GDP","A","2015",1.373,
"PRT","EDUEXP","TRY","PC_GDP","A","2015",1.288,
"SVK","EDUEXP","TRY","PC_GDP","A","2015",1.575,
"ESP","EDUEXP","TRY","PC_GDP","A","2015",1.28,
"SWE","EDUEXP","TRY","PC_GDP","A","2015",1.619,
"TUR","EDUEXP","TRY","PC_GDP","A","2015",1.653,
"GBR","EDUEXP","TRY","PC_GDP","A","2015",1.868,
"USA","EDUEXP","TRY","PC_GDP","A","2015",2.576,
"ARG","EDUEXP","TRY","PC_GDP","A","2015",,"M"
"CHL","EDUEXP","TRY","PC_GDP","A","2015",2.028,
"CHN","EDUEXP","TRY","PC_GDP","A","2015",,"M"
"COL","EDUEXP","TRY","PC_GDP","A","2015",1.734,
"EST","EDUEXP","TRY","PC_GDP","A","2015",1.774,
"IND","EDUEXP","TRY","PC_GDP","A","2015",,"M"
"IDN","EDUEXP","TRY","PC_GDP","A","2015",0.676,
"ISR","EDUEXP","TRY","PC_GDP","A","2015",1.469,
"LVA","EDUEXP","TRY","PC_GDP","A","2015",1.507,
"RUS","EDUEXP","TRY","PC_GDP","A","2015",1.148,
"SAU","EDUEXP","TRY","PC_GDP","A","2015",,"M"
"SVN","EDUEXP","TRY","PC_GDP","A","2015",1.036,
"NOR","EDUEXP","TRY","PC_GDP","A","2015",1.739,
"CHE","EDUEXP","TRY","PC_GDP","A","2015",,"M"
"BRA","EDUEXP","TRY","PC_GDP","A","2015",0.959,
"CRI","EDUEXP","TRY","PC_GDP","A","2015",,"M"
"LTU","EDUEXP","TRY","PC_GDP","A","2015",1.502,
"ZAF","EDUEXP","TRY","PC_GDP","A","2015",,"M"
